,TP_total_temperature,TP_total_pressure
546,"[101541.28697679641, 101541.28697679641, 500.2949221237623, 684.7758546371725, 1421.40336440997, 1255.0325904251906, 1065.6032355625912, 857.581684329969, 857.581684329969]","[101541.28697679641, 101541.28697679641, 523224.10805041314, 1316665.4414118067, 1224498.8605129803, 674931.5820875687, 308479.67515246687, 111723.57786887653, 111723.57786887653]"
547,"[101542.02050951713, 101542.02050951713, 500.2951428190911, 684.7757494798893, 1421.4008537548436, 1255.030351244964, 1065.6013184602737, 857.5800717347507, 857.5800717347507]","[101542.02050951713, 101542.02050951713, 523225.36167419277, 1316666.2940235594, 1224499.6534419104, 674931.961525632, 308479.8265577635, 111723.59021614879, 111723.59021614879]"
548,"[101542.75506778789, 101542.75506778789, 500.2953638219583, 684.7756441763655, 1421.398339603404, 1255.0281089465145, 1065.599398688299, 857.5784568943927, 857.5784568943927]","[101542.75506778789, 101542.75506778789, 523226.6170461036, 1316667.1478217822, 1224500.4474742576, 674932.3414914713, 308479.97817358543, 111723.60258060967, 111723.60258060967]"
549,"[101543.49065052667, 101543.49065052667, 500.29558513259957, 684.7755387278171, 1421.3958219632052, 1255.025863536575, 1065.597476252427, 857.5768398129036, 857.5768398129036]","[101543.49065052667, 101543.49065052667, 523227.8741660376, 1316668.0028112275, 1224501.2426144416, 674932.7219876853, 308480.1300011792, 111723.61496232799, 111723.61496232799]"
550,"[101544.22725665188, 101544.22725665188, 500.2958067498677, 684.7754331328731, 1421.3933008325241, 1255.0236150136147, 1065.5955511513548, 857.5752204904012, 857.5752204904012]","[101544.22725665188, 101544.22725665188, 523229.13302958297, 1316668.8589818943, 1224502.0388531617, 674933.1030091224, 308480.2820381855, 111723.6273611591, 111723.6273611591]"
551,"[101544.96488508226, 101544.96488508226, 500.29602867493, 684.7753273944917, 1421.3907762251565, 1255.021363389928, 1065.5936233955956, 857.5735989335111, 857.5735989335111]","[101544.96488508226, 101544.96488508226, 523230.3936395302, 1316669.7163484665, 1224502.8362040739, 674933.484563599, 308480.43428828, 111723.6397773155, 111723.6397773155]"
552,"[101545.70353473701, 101545.70353473701, 500.29625090649824, 684.7752215110376, 1421.3882481384305, 1255.0191086631382, 1065.591692983123, 857.571975141953, 857.571975141953]","[101545.70353473701, 101545.70353473701, 523231.65599103004, 1316670.5748994402, 1224503.6346564793, 674933.8666451727, 308480.5867487344, 111723.65221063075, 111723.65221063075]"
553,"[101546.44320453604, 101546.44320453604, 500.29647344311604, 684.7751154805604, 1421.3857165685401, 1255.0168508298582, 1065.5897599110463, 857.5703491149694, 857.5703491149694]","[101546.44320453604, 101546.44320453604, 523232.92007870984, 1316671.4346215117, 1224504.434198006, 674934.2492469538, 308480.7394163786, 111723.66466091223, 111723.66466091223]"
554,"[101547.18389339939, 101547.18389339939, 500.29669628623225, 684.7750093065441, 1421.3831815311644, 1255.0145899040608, 1065.587824191314, 857.5687208599755, 857.5687208599755]","[101547.18389339939, 101547.18389339939, 523234.185906238, 1316672.295532369, 1224505.2348451032, 674934.6323783401, 308480.892295625, 111723.67712841606, 111723.67712841606]"
555,"[101547.92560024773, 101547.92560024773, 500.2969194339392, 684.7749029861941, 1421.380643019469, 1255.0123258796605, 1065.5858858187294, 857.5670903749434, 857.5670903749434]","[101547.92560024773, 101547.92560024773, 523235.4534668385, 1316673.1576138975, 1224506.0365809246, 674935.0160299134, 308481.04538212734, 111723.68961288001, 111723.68961288001]"
556,"[101548.668324002, 101548.668324002, 500.2971428873763, 684.774796522414, 1421.3781010470493, 1255.0100587687737, 1065.5839448036543, 857.565457666413, 857.565457666413]","[101548.668324002, 101548.668324002, 523236.72276321653, 1316674.0208804766, 1224506.8394188434, 674935.4002093326, 308481.1986794887, 111723.70211451226, 111723.70211451226]"
557,"[101549.41206358395, 101549.41206358395, 500.29736664632793, 684.7746899155736, 1421.3755556184137, 1255.0077885754204, 1065.5820011495296, 857.5638227371132, 857.5638227371132]","[101549.41206358395, 101549.41206358395, 523237.9937938622, 1316674.8853320372, 1224507.6433587947, 674935.7849166625, 308481.3521877761, 111723.71463331173, 111723.71463331173]"
558,"[101550.15681791525, 101550.15681791525, 500.29759070866226, 684.7745831624576, 1421.3730067252159, 1255.0055152921686, 1065.580054850007, 857.5621855843816, 857.5621855843816]","[101550.15681791525, 101550.15681791525, 523239.26655130263, 1316675.7509480692, 1224508.4483817043, 674936.1701412268, 308481.5059020571, 111723.72716898173, 111723.72716898173]"
559,"[101550.90258591858, 101550.90258591858, 500.29781507568674, 684.7744762662838, 1421.3704543821739, 1255.0032389321348, 1065.5781059163037, 857.5605462152274, 857.5605462152274]","[101550.90258591858, 101550.90258591858, 523240.54103876854, 1316676.6177447485, 1224509.2545026161, 674936.5558916279, 308481.65982637455, 111723.7397217562, 111723.7397217562]"
560,"[101551.64936651659, 101551.64936651659, 500.2980397465105, 684.7743692261575, 1421.3678985892582, 1255.000959495296, 1065.5761543484043, 857.5589046304759, 857.5589046304759]","[101551.64936651659, 101551.64936651659, 523241.8172526485, 1316677.4857147955, 1224510.0617147598, 674936.9421641416, 308481.8139590313, 111723.75229153005, 111723.75229153005]"
561,"[101552.39715863274, 101552.39715863274, 500.2982647207217, 684.7742620420801, 1421.3653393496518, 1254.998676984492, 1065.5742001487415, 857.5572608322982, 857.5572608322982]","[101552.39715863274, 101552.39715863274, 523243.0951908238, 1316678.354856046, 1224510.8700161227, 674937.3289577321, 308481.96829958353, 111723.76487827185, 111723.76487827185]"
562,"[101553.14596119069, 101553.14596119069, 500.298489998219, 684.7741547146326, 1421.3627766686143, 1254.9963914044124, 1065.5722433213284, 857.5556148237363, 857.5556148237363]","[101553.14596119069, 101553.14596119069, 523244.37485214084, 1316679.2251696412, 1224511.6794077663, 674937.7162731013, 308482.1228483951, 111723.77748199807, 111723.77748199807]"
563,"[101553.8957731147, 101553.8957731147, 500.2987155782805, 684.7740472432362, 1421.3602105472464, 1254.9941027560415, 1065.5702838670113, 857.5539666060878, 857.5539666060878]","[101553.8957731147, 101553.8957731147, 523245.65623351705, 1316680.0966501094, 1224512.489884602, 674938.1041074753, 308482.2776042121, 111723.79010262959, 111723.79010262959]"
