Altitude,FR,F_prop,Mach,Ratio,eta
8620.689655,515.6014597,8759.747236,0.3,0.058860312,0.7
9482.758621,513.1807119,8646.77276,0.3,0.059349393,0.7
10344.82759,510.8959526,8536.687393,0.3,0.059847096,0.7
11206.89655,508.5247521,8426.743047,0.3,0.060346536,0.7
12068.96552,506.0693249,8316.951498,0.3,0.060847935,0.7
12931.03448,503.531813,8207.323975,0.3,0.061351521,0.7
13793.10345,500.9142755,8097.871037,0.3,0.061857527,0.7
14655.17241,498.2186819,7988.602503,0.3,0.062366188,0.7
15517.24138,495.4468975,7879.527297,0.3,0.062877744,0.7
16379.31034,492.6006694,7770.653292,0.3,0.06339244,0.7
17241.37931,489.6816082,7661.987123,0.3,0.063910524,0.7
18103.44828,487.0224539,7557.323298,0.3,0.064443777,0.7
18965.51724,484.0167299,7449.681981,0.3,0.064971462,0.7
19827.58621,480.9523009,7342.36579,0.3,0.065503724,0.7
20689.65517,477.832154,7235.395392,0.3,0.066040918,0.7
21551.72414,474.6594782,7128.793342,0.3,0.066583425,0.7
22413.7931,471.1581165,7019.504616,0.3,0.067121277,0.7
23275.86207,467.6571112,6913.071946,0.3,0.067648234,0.7
24137.93103,464.2478098,6806.934968,0.3,0.068202181,0.7
25000,460.7789579,6701.093641,0.3,0.068761755,0.7
0,251.2242799,6969.313677,0.4,0.036047205,0.7
862.0689655,264.4315085,6986.542317,0.4,0.037848695,0.7
1724.137931,277.5355371,7003.855285,0.4,0.03962611,0.7
2586.206897,290.543579,7021.243703,0.4,0.041380643,0.7
3448.275862,303.4628538,7038.697736,0.4,0.043113494,0.7
4310.344828,316.3005843,7056.206541,0.4,0.044825868,0.7
5172.413793,329.0639917,7073.758235,0.4,0.046518976,0.7
6034.482759,341.7698877,7091.441129,0.4,0.048194701,0.7
6896.551724,354.8857416,7112.226322,0.4,0.049897982,0.7
7758.62069,362.3662207,7076.732205,0.4,0.051205304,0.7
8620.689655,364.6630712,6989.355217,0.4,0.052174065,0.7
9482.758621,366.7705008,6902.116914,0.4,0.053138842,0.7
10344.82759,368.6924685,6815.0252,0.4,0.054099942,0.7
11206.89655,370.4328408,6728.087505,0.4,0.055057673,0.7
12068.96552,371.9953865,6641.310731,0.4,0.056012345,0.7
12931.03448,373.3837654,6554.701148,0.4,0.05696427,0.7
13793.10345,374.6015224,6468.26433,0.4,0.057913762,0.7
